pair_id,cell_id,run_id,train_seed,eval_seed,arm_id,arm_mode,family,success,final_distance,first_action_mse,total_reward,steps
11:1011,11:1011:occlusion,visual-beta1-image-seed-11,11,1011,occlusion,occlusion,waypoint_reach,0,0.3991541266441345,0.011259165592491627,-12.133130192756653,24
11:1012,11:1012:occlusion,visual-beta1-image-seed-11,11,1012,occlusion,occlusion,direct_reach,0,0.3730662763118744,0.005477470345795155,-9.840124070644379,24
11:1013,11:1013:occlusion,visual-beta1-image-seed-11,11,1013,occlusion,occlusion,waypoint_reach,0,0.47045889496803284,0.010855657979846,-13.203429907560349,24
11:1014,11:1014:occlusion,visual-beta1-image-seed-11,11,1014,occlusion,occlusion,direct_reach,0,0.3809066712856293,0.005887592677026987,-8.896787464618683,24
11:1015,11:1015:occlusion,visual-beta1-image-seed-11,11,1015,occlusion,occlusion,waypoint_reach,0,0.47494277358055115,0.011120287701487541,-12.389420330524445,24
11:1016,11:1016:occlusion,visual-beta1-image-seed-11,11,1016,occlusion,occlusion,direct_reach,0,0.3055404722690582,0.006654529366642237,-7.246793955564499,24
11:1017,11:1017:occlusion,visual-beta1-image-seed-11,11,1017,occlusion,occlusion,waypoint_reach,0,0.8275355696678162,0.010220976546406746,-19.28769278526306,24
11:1018,11:1018:occlusion,visual-beta1-image-seed-11,11,1018,occlusion,occlusion,direct_reach,0,0.7821782231330872,0.018519200384616852,-18.386737883090973,24
11:1019,11:1019:occlusion,visual-beta1-image-seed-11,11,1019,occlusion,occlusion,waypoint_reach,0,0.5976771712303162,0.011385961435735226,-15.173239827156067,24
11:1020,11:1020:occlusion,visual-beta1-image-seed-11,11,1020,occlusion,occlusion,direct_reach,0,0.7288488149642944,0.026542047038674355,-16.56036537885666,24
11:1021,11:1021:occlusion,visual-beta1-image-seed-11,11,1021,occlusion,occlusion,waypoint_reach,0,0.7722504138946533,0.01085713692009449,-18.253380447626114,24
11:1022,11:1022:occlusion,visual-beta1-image-seed-11,11,1022,occlusion,occlusion,direct_reach,0,0.36228513717651367,0.005491809919476509,-7.231241822242737,24
11:1023,11:1023:occlusion,visual-beta1-image-seed-11,11,1023,occlusion,occlusion,waypoint_reach,0,0.3323517441749573,0.010969243943691254,-11.64200896024704,24
11:1000,11:1000:shuffle,visual-beta1-image-seed-11,11,1000,shuffle,shuffle,direct_reach,0,0.8128681778907776,0.0006679982179775834,-14.392380207777023,24
11:1001,11:1001:shuffle,visual-beta1-image-seed-11,11,1001,shuffle,shuffle,waypoint_reach,0,0.2973814010620117,0.000640497135464102,-9.070247024297714,24
11:1002,11:1002:shuffle,visual-beta1-image-seed-11,11,1002,shuffle,shuffle,direct_reach,0,0.6440684199333191,0.0005315396119840443,-12.66437742114067,24
11:1003,11:1003:shuffle,visual-beta1-image-seed-11,11,1003,shuffle,shuffle,waypoint_reach,0,0.5956887006759644,0.00039255182491615415,-9.463672325015068,24
11:1004,11:1004:shuffle,visual-beta1-image-seed-11,11,1004,shuffle,shuffle,direct_reach,0,0.2570553123950958,0.0053660087287425995,-7.086579650640488,24
11:1005,11:1005:shuffle,visual-beta1-image-seed-11,11,1005,shuffle,shuffle,waypoint_reach,0,0.3974168598651886,0.000493502477183938,-6.556428201496601,24
11:1006,11:1006:shuffle,visual-beta1-image-seed-11,11,1006,shuffle,shuffle,direct_reach,0,0.46331480145454407,0.0004186410515103489,-8.481289371848106,24
11:1007,11:1007:shuffle,visual-beta1-image-seed-11,11,1007,shuffle,shuffle,waypoint_reach,0,0.330731064081192,0.0007008422398939729,-7.2592048943042755,24
11:1008,11:1008:shuffle,visual-beta1-image-seed-11,11,1008,shuffle,shuffle,direct_reach,0,0.21993331611156464,0.0020708334632217884,-6.824041560292244,24
11:1009,11:1009:shuffle,visual-beta1-image-seed-11,11,1009,shuffle,shuffle,waypoint_reach,0,0.29410889744758606,0.0006049885996617377,-7.030855149030685,24
11:1010,11:1010:shuffle,visual-beta1-image-seed-11,11,1010,shuffle,shuffle,direct_reach,0,0.85309237241745,0.00114536308683455,-16.12557789683342,24
11:1011,11:1011:shuffle,visual-beta1-image-seed-11,11,1011,shuffle,shuffle,waypoint_reach,0,0.5728642344474792,0.00023559009423479438,-10.60361497104168,24
11:1012,11:1012:shuffle,visual-beta1-image-seed-11,11,1012,shuffle,shuffle,direct_reach,0,0.622658371925354,0.0018332238541916013,-11.462309405207634,24
11:1013,11:1013:shuffle,visual-beta1-image-seed-11,11,1013,shuffle,shuffle,waypoint_reach,0,0.539129912853241,0.0010693809017539024,-10.396739318966866,24
11:1014,11:1014:shuffle,visual-beta1-image-seed-11,11,1014,shuffle,shuffle,direct_reach,0,0.5421919822692871,0.00038871943252161145,-9.700398400425911,24
11:1015,11:1015:shuffle,visual-beta1-image-seed-11,11,1015,shuffle,shuffle,waypoint_reach,0,0.483163058757782,0.0008935131481848657,-7.290986500680447,24
11:1016,11:1016:shuffle,visual-beta1-image-seed-11,11,1016,shuffle,shuffle,direct_reach,0,0.7345635890960693,0.0003995821170974523,-12.79304102063179,24
11:1017,11:1017:shuffle,visual-beta1-image-seed-11,11,1017,shuffle,shuffle,waypoint_reach,0,0.20104293525218964,0.0009138761088252068,-6.804473340511322,24
11:1018,11:1018:shuffle,visual-beta1-image-seed-11,11,1018,shuffle,shuffle,direct_reach,0,0.2222949117422104,0.0008223220356740057,-5.129916578531265,24
11:1019,11:1019:shuffle,visual-beta1-image-seed-11,11,1019,shuffle,shuffle,waypoint_reach,0,0.2859126925468445,0.00029479051590897143,-7.247725158929825,24
11:1020,11:1020:shuffle,visual-beta1-image-seed-11,11,1020,shuffle,shuffle,direct_reach,0,0.4411410987377167,0.003350243205204606,-8.690612599253654,24
