family,treatment,train_seed,eval_seed,success,final_distance,action_smoothness,steps
chunk,chunk-1,11,1000,1,0.08361752331256866,0.018353010062128305,5
chunk,chunk-1,11,1001,1,0.09066854417324066,0.010364311126371225,4
chunk,chunk-1,11,1002,1,0.07567436993122101,0.016424430767074227,5
chunk,chunk-1,11,1003,1,0.0933392271399498,0.015710606798529626,6
chunk,chunk-1,11,1004,1,0.08414318412542343,0.011783024296164513,8
chunk,chunk-1,11,1005,1,0.07986485958099365,0.017641506556953703,8
chunk,chunk-1,11,1006,1,0.0723838210105896,0.01949411556124687,6
chunk,chunk-1,11,1007,1,0.06629578769207001,0.018435299529560974,8
chunk,chunk-1,11,1008,1,0.09031727910041809,0.019992324368407328,7
chunk,chunk-1,11,1009,1,0.09193876385688782,0.014828573601941267,7
chunk,chunk-1,11,1010,1,0.08174881339073181,0.018234014821549255,7
chunk,chunk-1,11,1011,1,0.07777369022369385,0.01981150060892105,6
chunk,chunk-1,11,1012,1,0.0656437799334526,0.019894308255364496,7
chunk,chunk-1,11,1013,1,0.07504990696907043,0.0,1
chunk,chunk-1,11,1014,1,0.09403674304485321,0.01931753708049655,5
chunk,chunk-1,11,1015,1,0.06921617686748505,0.019212551042437555,6
chunk,chunk-1,11,1016,1,0.08187957853078842,0.01822783537209034,6
chunk,chunk-1,11,1017,1,0.09578957408666611,0.014494448512171706,7
chunk,chunk-1,11,1018,1,0.07287156581878662,0.015130731587608656,4
chunk,chunk-1,11,1019,1,0.08347144722938538,0.01748704817146063,6
chunk,chunk-1,22,1000,1,0.08161867409944534,0.018347012344747782,5
chunk,chunk-1,22,1001,1,0.08954630047082901,0.010918560127417246,4
chunk,chunk-1,22,1002,1,0.0712733045220375,0.016634476371109486,5
chunk,chunk-1,22,1003,1,0.08770278841257095,0.015640073642134666,6
chunk,chunk-1,22,1004,1,0.07897303998470306,0.01157121972313949,8
chunk,chunk-1,22,1005,1,0.07728224992752075,0.01756260677107743,8
chunk,chunk-1,22,1006,1,0.06935939192771912,0.019513620249927043,6
chunk,chunk-1,22,1007,1,0.06300263106822968,0.018421573298318044,8
chunk,chunk-1,22,1008,1,0.08763332664966583,0.019906353515883286,7
chunk,chunk-1,22,1009,1,0.08636675775051117,0.014693341838816801,7
chunk,chunk-1,22,1010,1,0.07742802053689957,0.01807682371387879,7
chunk,chunk-1,22,1011,1,0.07420244812965393,0.019870313256978987,6
chunk,chunk-1,22,1012,1,0.06323765218257904,0.019864431582391262,7
chunk,chunk-1,22,1013,1,0.07516617327928543,0.0,1
chunk,chunk-1,22,1014,1,0.09171143174171448,0.019317821133881807,5
chunk,chunk-1,22,1015,1,0.06634390354156494,0.019223782420158386,6
chunk,chunk-1,22,1016,1,0.07751403748989105,0.018103286251425744,6
chunk,chunk-1,22,1017,1,0.09299147874116898,0.014613559003919363,7
chunk,chunk-1,22,1018,1,0.07084741443395615,0.015166013812025389,4
chunk,chunk-1,22,1019,1,0.07873153686523438,0.017374845780432226,6
chunk,chunk-1,33,1000,1,0.08013342320919037,0.018341313116252422,5
chunk,chunk-1,33,1001,1,0.09210674464702606,0.010510921167830626,4
chunk,chunk-1,33,1002,1,0.07234077155590057,0.016421623062342405,5
chunk,chunk-1,33,1003,1,0.09066054224967957,0.015566502511501313,6
chunk,chunk-1,33,1004,1,0.08258695900440216,0.011582400117601668,8
chunk,chunk-1,33,1005,1,0.076140858232975,0.017519927583634853,8
chunk,chunk-1,33,1006,1,0.06854651868343353,0.019425567239522934,6
chunk,chunk-1,33,1007,1,0.062443461269140244,0.018362094648182392,8
chunk,chunk-1,33,1008,1,0.08673959970474243,0.019857750895122688,7
chunk,chunk-1,33,1009,1,0.08914381265640259,0.0146324021431307,7
chunk,chunk-1,33,1010,1,0.07847870886325836,0.018022287481774885,7
chunk,chunk-1,33,1011,1,0.07404248416423798,0.019734440930187704,6
chunk,chunk-1,33,1012,1,0.06170985475182533,0.01983693956087033,7
chunk,chunk-1,33,1013,1,0.07591506838798523,0.0,1
chunk,chunk-1,33,1014,1,0.09059299528598785,0.019268883392214775,5
chunk,chunk-1,33,1015,1,0.06533245742321014,0.019150817207992075,6
chunk,chunk-1,33,1016,1,0.07857640087604523,0.01805646549910307,6
chunk,chunk-1,33,1017,1,0.09625576436519623,0.014444383637358746,7
chunk,chunk-1,33,1018,1,0.06949829310178757,0.015170369918147722,4
chunk,chunk-1,33,1019,1,0.08029939979314804,0.017321713827550413,6
chunk,chunk-1,44,1000,1,0.083462655544281,0.018206633860245347,5
chunk,chunk-1,44,1001,1,0.09218672662973404,0.01032983884215355,4
chunk,chunk-1,44,1002,1,0.0760505422949791,0.016324425116181374,5
chunk,chunk-1,44,1003,1,0.09396463632583618,0.015672370605170727,6
chunk,chunk-1,44,1004,1,0.08514749258756638,0.011743625093783652,8
chunk,chunk-1,44,1005,1,0.08007751405239105,0.01760035034801279,8
chunk,chunk-1,44,1006,1,0.07260676473379135,0.019340666010975838,6
chunk,chunk-1,44,1007,1,0.06659309566020966,0.01840351109525987,8
chunk,chunk-1,44,1008,1,0.09068597853183746,0.019945435070743162,7
chunk,chunk-1,44,1009,1,0.09252334386110306,0.01475807869186004,7
chunk,chunk-1,44,1010,1,0.08217321336269379,0.018131451060374577,7
chunk,chunk-1,44,1011,1,0.07813598215579987,0.019660786539316178,6
chunk,chunk-1,44,1012,1,0.06563462316989899,0.0197763176014026,7
chunk,chunk-1,44,1013,1,0.07562430202960968,0.0,1
chunk,chunk-1,44,1014,1,0.09418468922376633,0.019158096984028816,5
chunk,chunk-1,44,1015,1,0.06936697661876678,0.019060955569148063,6
chunk,chunk-1,44,1016,1,0.08228044956922531,0.018158992938697337,6
chunk,chunk-1,44,1017,1,0.09465126693248749,0.0144625639077276,7
chunk,chunk-1,44,1018,1,0.07257986813783646,0.015021650431056818,4
chunk,chunk-1,44,1019,1,0.08392250537872314,0.017425413802266122,6
chunk,chunk-1,55,1000,1,0.08294548094272614,0.018134974874556065,5
chunk,chunk-1,55,1001,1,0.09265279769897461,0.010391172332068285,4
chunk,chunk-1,55,1002,1,0.07712378352880478,0.016184740932658315,5
chunk,chunk-1,55,1003,1,0.09456457942724228,0.015593421086668969,6
chunk,chunk-1,55,1004,1,0.08496955782175064,0.011582036103521074,8
chunk,chunk-1,55,1005,1,0.08057668805122375,0.017591271815555438,8
chunk,chunk-1,55,1006,1,0.07339198887348175,0.019188368506729604,6
chunk,chunk-1,55,1007,1,0.06757184118032455,0.01837414556315967,8
chunk,chunk-1,55,1008,1,0.09144917875528336,0.019923172580699127,7
chunk,chunk-1,55,1009,1,0.09316989034414291,0.014596597291529179,7
chunk,chunk-1,55,1010,1,0.08335322141647339,0.01798524164284269,7
chunk,chunk-1,55,1011,1,0.0792534351348877,0.01949073001742363,6
chunk,chunk-1,55,1012,1,0.06567570567131042,0.01965087093412876,7
chunk,chunk-1,55,1013,1,0.07604354619979858,0.0,1
chunk,chunk-1,55,1014,1,0.09453664720058441,0.01902747876010835,5
chunk,chunk-1,55,1015,1,0.06998994946479797,0.018918253481388092,6
chunk,chunk-1,55,1016,1,0.08341235667467117,0.01805938370525837,6
chunk,chunk-1,55,1017,1,0.09035560488700867,0.014525404277568063,7
